LCVP_Taxon,Common_Name
Carya illinoinensis (Wangenh.) K.Koch ,pecan
Carya texana Buckley ,Black Hickory
Casearia arborea (Rich.) Urb. ,Gia verde
Casearia commersoniana Cambess. ,
Casearia nitida Jacq. ,Smooth Casearia
Casearia sylvestris Sw. ,Wild sage
Casearia thamnia (L.) T.Samar. & M.H.Alford ,
Cassia fistula L. ,Golden Shower tree
Castanopsis fissa (Champ. ex Benth.) Rehder & E.H.Wilson ,
Castanospermum australe A.Cunn. & C.Fraser ,Moreton Bay Chestnut
Casuarina equisetifolia L. ,coastal she-oak
Catalpa bignonioides Walter ,common catalpa
Cecropia peltata L. ,trumpet tree
Cedrus deodara (Roxb. ex Lamb.) G.Don ,himalayan cedar
Ceiba aesculifolia (Kunth) Britten & Baker.f. ,pochote
Ceiba pentandra (L.) Gaertn. ,Silk cotton tree
Ceiba speciosa (A.St.-Hil.) Ravenna ,palo borracho
Celtis laevigata Willd. ,sugarberry
Celtis occidentalis L. ,hackberry
Celtis sinensis Pers. ,Chinese Hackberry
Cenostigma gaumeri (Greenm.) Gagnon & G.P.Lewis ,
Cespedesia spathulata (Ruiz & Pav.) Planch. ,
Chimarrhis parviflora Standl. ,
Chukrasia tabularis A.Juss. ,Chickrassy
Cinnamomum bejolghota (Buch.-Ham.) Sweet ,Assamese
Cinnamomum burmanni (Nees & T.Nees) Blume ,Java Cinnamon
Cinnamomum camphora (L.) J.Presl ,Camphor tree
Citrus japonica Thunb. ,Kumquat
Cleyera japonica Thunb. ,Japanese cleyera
Coccoloba diversifolia Jacq. ,Pigeon Plum
Coccoloba tuerckheimii Donn.Sm. ,
Coccoloba uvifera (L.) L. ,seagrape
Cochlospermum vitifolium (Willd.) Spreng. ,Brazilian Rose
Colubrina arborescens (Mill.) Sarg. ,wild coffee
Cordia bicolor DC. ,Muneco
Cordia gerascanthus L. ,Spanish elm
Cordia sulcata DC. ,White manjack
Cornus florida L. ,flowering dogwood
Crescentia cujete L. ,calabash tree
Croton poecilanthus Urb. ,
Cryptocarya chinensis (Hance) Hemsl. ,Chinese cryptocarya
Cupressus sempervirens L. ,Italian cypress
Dacryodes excelsa Vahl ,Candlewood
Damburneya coriacea (Sw.) Trofimov & Rohwer ,Lancewood
Delonix regia (Bojer ex Hook.) Raf. ,royal poinciana
Dendropanax arboreus (L.) Decne. & Planch. ,Angelica Tree
Dimocarpus longan Lour. ,Longan /Dragon's eye
Diospyros ferrea (Willd.) Bakh. ,Black ebony
Diospyros virginiana L. ,common persimmon
Dipteryx oleifera Benth. ,eboe/ almendro
Distylium racemosum Siebold & Zucc. ,Isu tree
Dodonaea viscosa (L.) Jacq. ,broadleaf hopbush
Drypetes lateriflora (Sw.) Krug & Urb. ,Guiana plum
Dussia macroprophyllata (Donn.Sm.) Harms ,frijolon/ sangrillo
Elaeocarpus angustifolius Blume ,Blue Marble Tree
Enterolobium cyclocarpum (Jacq.) Griseb. ,elephant-ear tree
Erythrina variegata L. ,Variegated Coral tree
Erythroxylum rotundifolium Lunan ,Rat wood/ swamp redwood
Eucalyptus robusta Sm. ,swamp-mahogany
Eucalyptus tereticornis Sm. ,Forest red gum
Eucalyptus urophylla S.T.Blake ,Timor white gum
Eugenia foetida Pers. ,Spanish stopper/ Boxleaf stopper
Eugenia reinwardtiana (Blume) A.Cunn. ex DC. ,Cedar Bay cherry
Eurya japonica Thunb. ,East Asian eurya
Exostema caribaeum (Jacq.) Schult. ,Caribbean Princewood
Fagus crenata Blume ,Japanese beech
Fagus grandifolia Ehrh. ,American beech
Ficus aurea Nutt. ,Florida strangler fig
Ficus benghalensis L. ,Indian Banyan
Ficus benjamina L. ,Weeping fig
Ficus concinna (Miq.) Miq. ,Elegant fig
Ficus elastica Roxb. ex Hornem. ,Indian Rubber Tree
Ficus macrophylla Desf. ex Pers. ,Moreton Bay Fig
Ficus microcarpa L.f. ,Malayan Banyan
Ficus racemosa L. ,Cluster fig
Ficus religiosa L. ,Bodhi Tree
Ficus virens Aiton ,White.fig
Firmiana simplex (L.) W.Wight ,Chinese Parasol Tree
Flacourtia rukam Zoll. & Moritzi ,Indian Prune
Fraxinus caroliniana Mill. ,Carolina ash
Fraxinus griffithii C.B.Clarke ,Formosan ash
Fraxinus mandshurica Rupr. ,Manchurian ash
